url,marca,modelo,tipo,genero,material_montura,forma,tipo_montura,color,talla,ancho_lente,ancho_puente,largo_varilla,calibre_total,peso,polarizadas,precio
https://www.lentiamo.es/oliver-peoples-finley-vintage0ov5397u-1669.html,Oliver Peoples,Oliver Peoples Finley Vintage 0OV5397U 1669,graduadas,Unisex,Acetato,Cuadradas,Montura completa,Transparente,,,,,,175.0,,299.9
https://www.lentiamo.es/mexx-2831-100-21-51.html,Mexx,2831 100 21 51,graduadas,Mujer,Metal,Redondas,Montura completa,Morado,M,51.0,21.0,135.0,137.0,130.0,,129.9
https://www.lentiamo.es/gucci-gg1846o-003-54.html,Gucci,GG1846O 003 54,graduadas,Mujer,Pasta,Cuadradas,Montura completa,Negro,M,54.0,18.0,140.0,133.0,195.0,,232.9
https://www.lentiamo.es/armani-exchange-0ax3103-8078-55.html,Armani Exchange,0AX3103 8078 55,graduadas,Hombre,Pasta,Rectangulares,Montura completa,Negro,L,55.0,16.0,145.0,141.0,75.0,,66.99
https://www.lentiamo.es/jaguar-33127-3100-17-56.html,Jaguar,33127 3100 17 56,graduadas,Hombre,Metal,Rectangulares,Media montura,Negro,M,56.0,17.0,145.0,132.0,140.0,,209.9
https://www.lentiamo.es/nano-vista-power-up-sc-3-0-nao30801-50.html,Nano Vista,Power Up SC 3.0 NAO30801 50,graduadas,Niños,Pasta,Rectangulares,Montura completa,Negro,S,50.0,15.0,132.0,121.0,90.0,,85.9
https://www.lentiamo.es/ray-ban-0rx8781d-1244-56.html,Ray-Ban,0RX8781D 1244 56,graduadas,Unisex,Titanio,Rectangulares,Montura al aire,Negro,M,56.0,17.0,145.0,136.0,190.0,,143.9
https://www.lentiamo.es/saint-laurent-sl-657-opt-002-54.html,Saint Laurent,SL 657 OPT 002 54,graduadas,Mujer,Pasta,Cat Eye,Montura completa,Marrón,M,54.0,16.0,140.0,130.0,180.0,,219.9
https://www.lentiamo.es/nano-vista-sprite-sc-3-0-nao30611-44.html,Nano Vista,Sprite SC 3.0 NAO30611 44,graduadas,Niños,Pasta,Redondas,Montura completa,Rosa,XXS,44.0,13.0,120.0,103.0,80.0,,83.9
https://www.lentiamo.es/gucci-gg2006oa-001-53.html,Gucci,GG2006OA 001 53,graduadas,Mujer,Metal,Cuadradas,Montura completa,Dorado,M,53.0,18.0,145.0,133.0,210.0,,249.9
https://www.lentiamo.es/jaguar-36835-6500-19-53.html,Jaguar,36835 6500 19 53,graduadas,Hombre,Pasta,Redondas,Montura completa,Negro,M,53.0,19.0,145.0,137.0,145.0,,194.9
https://www.lentiamo.es/gucci-gg1820o-001-55.html,Gucci,GG1820O 001 55,graduadas,Hombre,Pasta,Rectangulares,Montura completa,Negro,M,55.0,17.0,145.0,135.0,175.0,,169.9
https://www.lentiamo.es/esprit-et17447n-538-53.html,Esprit,ET17447N 538 53,graduadas,Unisex,Pasta,Rectangulares,Montura completa,Negro,S,53.0,16.0,145.0,127.0,85.0,,85.99
https://www.lentiamo.es/ray-ban-aviator-max-0rx3925v-2500-58.html,Ray-Ban,0RX3925V 2500 58,graduadas,Unisex,Metal,Aviador,Montura completa,Dorado,M,58.0,16.0,145.0,140.0,170.0,,119.9
https://www.lentiamo.es/vogue-0vo5603-w44-54.html,Vogue,0VO5603 W44 54,graduadas,Mujer,Nylon,Cat Eye,Montura completa,Negro,M,54.0,16.0,140.0,131.0,95.0,,69.99
https://www.lentiamo.es/armani-exchange-0ax3103-8181-55.html,Armani Exchange,0AX3103 8181 55,graduadas,Hombre,Pasta,Rectangulares,Montura completa,Azul,L,55.0,16.0,145.0,141.0,80.0,,89.99
https://www.lentiamo.es/ray-ban-erika-0rx7046-5365-51.html,Ray-Ban,0RX7046 5365 51,graduadas,Mujer,Pasta,Cuadradas,Montura completa,Marrón,M,51.0,18.0,140.0,130.0,160.0,,96.99
https://www.lentiamo.es/versace-0ve1218-1342-53.html,Versace,0VE1218 1342 53,graduadas,Mujer,Metal,Cat Eye,Media montura,Negro,M,53.0,17.0,140.0,132.0,150.0,,139.9
https://www.lentiamo.es/nano-vista-basic-nb04-nb0401.html,Nano Vista,Basic NB04 NB0401 50,graduadas,Niños,Pasta,Rectangulares,Montura completa,Negro,XS,50.0,15.0,127.0,117.0,70.0,,73.99
https://www.lentiamo.es/gucci-gg1952o-001-51.html,Gucci,GG1952O 001 51,graduadas,Mujer,Pasta,Cuadradas,Montura completa,Negro,M,51.0,18.0,140.0,134.0,220.0,,239.9
https://www.lentiamo.es/active-a-sport-f039847138000-47.html,Centrostyle S.p.A,F039847138000 47,graduadas,Niños,Pasta,Cuadradas,Montura completa,Rojo,XS,47.0,15.0,135.0,115.0,90.0,,82.99
https://www.lentiamo.es/esprit-et17125-545-53.html,Esprit,ET17125 545 53,graduadas,Mujer,Pasta,Rectangulares,Montura completa,Marrón,S,53.0,15.0,143.0,129.0,90.0,,114.9
https://www.lentiamo.es/ray-ban-alice-0rx7238-2012.html,Ray-Ban,0RX7238 2012 52,graduadas,Unisex,Propionato,Cuadradas,Montura completa,Marrón,M,52.0,21.0,145.0,136.0,175.0,,112.9
https://www.lentiamo.es/gucci-gg1434o-002-55.html,Gucci,GG1434O 002 55,graduadas,Mujer,Metal,Cuadradas,Montura completa,Dorado,M,55.0,19.0,145.0,138.0,47.0,,289.9
https://www.lentiamo.es/emporio-armani-0ea3273u-5017-54.html,Emporio Armani,0EA3273U 5017 54,graduadas,Mujer,Acetato,Cat Eye,Montura completa,Negro,M,54.0,16.0,140.0,135.0,115.0,,119.9
https://www.lentiamo.es/ray-ban-0rx5268-5119.html,Ray-Ban,Ray-Ban 0RX5268 5119,graduadas,Unisex,Acetato,Rectangulares,Montura completa,Negro,,,,,,155.0,,105.9
https://www.lentiamo.es/gucci-gg1204o-001-55.html,Gucci,GG1204O 001 55,graduadas,Mujer,Metal/Pasta,Cuadradas,Montura completa,Negro,M,55.0,17.0,135.0,140.0,210.0,,329.9
https://www.lentiamo.es/dolce-gabbana-0dg5025-504-53.html,Dolce & Gabbana,0DG5025 504 53,graduadas,Mujer,Metal/Pasta,Cat Eye,Montura completa,Gris,M,53.0,15.0,140.0,132.0,100.0,,159.9
https://www.lentiamo.es/ray-ban-0rx7185-2000.html,Ray-Ban,Ray-Ban 0RX7185 2000,graduadas,Unisex,Pasta,Cuadradas,Montura completa,Negro,,,,,,100.0,,88.99
https://www.lentiamo.es/oliver-peoples-errisson-0ov5562u-1731-51.html,Oliver Peoples,0OV5562U 1731 51,graduadas,Unisex,Pasta,Cuadradas,Montura completa,Negro,M,51.0,18.0,145.0,140.0,195.0,,279.9
https://www.lentiamo.es/emporio-armani-0ea3237-5001-55.html,Emporio Armani,0EA3237 5001 55,graduadas,Hombre,Pasta,Rectangulares,Montura completa,Negro,M,55.0,18.0,145.0,137.0,85.0,,102.9
https://www.lentiamo.es/ray-ban-0rx5430-2012.html,Ray-Ban,Ray-Ban 0RX5430 2012,graduadas,Unisex,Acetato,Redondas,Montura completa,Marrón,,,,,,170.0,,104.9
https://www.lentiamo.es/nano-vista-gaikai-3-0-nao30503-sc-47.html,Nano Vista,Nano Vista Gaikai SC 3.0 NAO30503 (clip solar),graduadas,Niños,Pasta,Rectangulares,Montura completa,Morado,,,,,,80.0,,89.99
https://www.lentiamo.es/active-a-sport-f039843005000-43.html,Centrostyle S.p.A,F039843005000 43,graduadas,Niños,Pasta,Cuadradas,Montura completa,Azul,XS,43.0,15.0,135.0,110.0,85.0,,76.99
https://www.lentiamo.es/blackfin-irvine-bf1061-1657-18-58.html,Blackfin,BF1061 1657 18 58,graduadas,Hombre,Titanio,Rectangulares,Montura completa,Negro,L,58.0,18.0,150.0,148.0,120.0,,349.9
https://www.lentiamo.es/dolce-gabbana-0dg3425-502-52.html,Dolce & Gabbana,0DG3425 502 52,graduadas,Mujer,Acetato,Redondas,Montura completa,Marrón,M,52.0,18.0,145.0,132.0,175.0,,155.9
https://www.lentiamo.es/tommy-hilfiger-th-2099-807-14-55.html,Tommy Hilfiger,TH 2099 807 14 55,graduadas,Mujer,Metal/Pasta,Cuadradas,Montura completa,Negro,M,55.0,14.0,140.0,133.0,150.0,,114.9
https://www.lentiamo.es/oliver-peoples-gregory-peck-0ov5186-1763-47.html,Oliver Peoples,0OV5186 1763 47,graduadas,Unisex,Acetato,Redondas,Montura completa,Verde,S,47.0,23.0,150.0,128.0,305.0,,249.9
https://www.lentiamo.es/ralph-0ra-7158u-6117.html,Ralph,Ralph 0RA 7158U 6117,graduadas,Mujer,Acetato,Cuadradas,Montura completa,Beige,,,,,,195.0,,79.99
https://www.lentiamo.es/oliver-peoples-errisson-0ov5562u-1745-51.html,Oliver Peoples,0OV5562U 1745 51,graduadas,Unisex,Pasta,Cuadradas,Montura completa,Verde,M,51.0,18.0,145.0,140.0,195.0,,279.9
https://www.lentiamo.es/oakley-hstn-rx-ox8139-813909-50.html,Oakley,0OX8139 813909 50,graduadas,Hombre,Pasta,Redondas,Montura completa,Azul,S,50.0,21.0,140.0,125.0,165.0,,89.99
https://www.lentiamo.es/ray-ban-round-metal-0rx3447v-2503.html,Ray-Ban,Ray-Ban Round Metal 0RX3447V 2503,graduadas,Unisex,Metal,Redondas,Montura completa,Negro,,,,,,100.0,,114.9
https://www.lentiamo.es/prada-0pr-b04v-3891o1.html,Prada,0PR B04V 3891O1 53,graduadas,Mujer,Acetato,Cat Eye,Montura completa,Negro,M,53.0,17.0,140.0,129.0,270.0,,145.9
https://www.lentiamo.es/vogue-0vo5654-w44.html,Vogue,0VO5654 W44 53,graduadas,Mujer,Nylon,Cuadradas,Montura completa,Negro,M,53.0,17.0,140.0,131.0,80.0,,89.99
https://www.lentiamo.es/saint-laurent-sl-m108-006-55.html,Saint Laurent,SL M108 006 55,graduadas,Mujer,Pasta,Cat Eye,Montura completa,Negro,M,55.0,16.0,140.0,135.0,160.0,,229.9
