url,marca,modelo,tipo,genero,material_montura,forma,tipo_montura,color,talla,ancho_lente,ancho_puente,largo_varilla,calibre_total,peso,polarizadas,valoracion,num_resenas,precio
https://www.lentiamo.es/uvex-sportstyle-235-black-mir-silver-s5330032216.html,Uvex Sports,S5330032216,sol,Unisex,Pasta,Rectangulares,,Negro,M,,18.0,125.0,135.0,85.0,False,,,73.99
https://www.lentiamo.es/uvex-sportstyle-706-black-matt-mir-blue-s5320062016.html,Uvex Sports,S5320062016,sol,Unisex,Pasta,Rectangulares,,Negro,M,,17.0,118.0,133.0,80.0,False,,,39.99
https://www.lentiamo.es/uvex-sportstyle-235-s5330032016.html,Uvex Sports,235 S5330032016,sol,Unisex,Pasta,Rectangulares,,Negro,M,,18.0,125.0,135.0,85.0,False,,,79.99
https://www.lentiamo.es/under-armour-ua-halftime-kb7-qi-99.html,Under Armour,UA Halftime KB7 QI 99,sol,Hombre,Pasta,Rectangulares,,Naranja,S,,16.0,120.0,129.0,60.0,False,,,60.69
https://www.lentiamo.es/uvex-equate-smoke-clear-s5330822118.html,Uvex Sports,S5330822118,sol,Unisex,Pasta,Rectangulares,,Transparente,S,,17.0,120.0,125.0,45.0,False,,,23.99
https://www.lentiamo.es/uvex-skyryse-jr-black-yellow-matt-mir-yellow-s5330762616.html,Uvex Sports,S5330762616,sol,Unisex,Pasta,Rectangulares,,Negro,S,,17.0,104.0,121.0,80.0,False,,,35.99
https://www.lentiamo.es/uvex-skyryse-jr-grey-green-matt-mir-blue-s5330765716.html,Uvex Sports,S5330765716,sol,Unisex,Pasta,Rectangulares,,Gris,S,,17.0,104.0,121.0,80.0,False,,,35.99
https://www.lentiamo.es/versace-0ve-2252-100287-63.html,Versace,0VE2252 100287 63,sol,Hombre,Metal,Aviador,,Dorado,L,,12.0,145.0,143.0,370.0,False,,,194.9
https://www.lentiamo.es/uvex-sportstyle-237-cv-black-matt-mir-blue-s5330862288.html,Uvex Sports,S5330862288,sol,Unisex,Pasta,Rectangulares,,Negro,M,,16.0,114.0,135.0,85.0,False,,,109.9
https://www.lentiamo.es/versace-0ve-2245-10028g-60.html,Versace,0VE2245 10028G 60,sol,Mujer,Metal,Rectangulares,,Dorado,M,,13.0,145.0,134.0,370.0,False,,,174.9
https://www.lentiamo.es/uvex-sportstyle-235v-black-matt-ltm-silver-s5330312205.html,Uvex Sports,S5330312205,sol,Unisex,Pasta,Rectangulares,,Negro,M,,19.0,120.0,133.0,170.0,False,,,129.9
https://www.lentiamo.es/under-armour-ua-halftime-f-o6w-v8-99.html,Under Armour,UA Halftime/F O6W V8 99,sol,Hombre,Pasta,Rectangulares,,Negro,S,,16.0,120.0,129.0,155.0,False,,,134.9
https://www.lentiamo.es/versace-0ve-2245-10028h-60.html,Versace,0VE2245 10028H 60,sol,Mujer,Metal,Rectangulares,,Dorado,M,,13.0,145.0,134.0,370.0,False,,,174.9
https://www.lentiamo.es/uvex-sportstyle-230-blue-matt-mir-red-s5320694416.html,Uvex Sports,230 S5320694416,sol,Unisex,Pasta,Rectangulares,,Azul,M,,17.0,125.0,135.0,40.0,False,,,28.99
https://www.lentiamo.es/uvex-rookie-clear-pink-mir-pink-s5330779316.html,Uvex Sports,S5330779316,sol,Ni̱os,Pasta,Cuadradas,,Transparente,S,,17.0,126.0,124.0,35.0,False,,,23.99
https://www.lentiamo.es/uvex-pace-stage-s-cv-black-matt-mir-pink-s5330732281.html,Uvex Sports,S5330732281,sol,Unisex,Pasta,Rectangulares,,Negro,S,,21.0,125.0,125.0,80.0,False,,,119.9
https://www.lentiamo.es/uvex-sportstyle-223-black-grey-clear-s5309822218.html,Uvex Sports,223 S5309822218,sol,Unisex,Pasta,Rectangulares,,Negro,M,,16.0,120.0,134.0,40.0,False,,,23.99
https://www.lentiamo.es/uvex-sportstyle-223-black-ltm-orange-s5309822212.html,Uvex Sports,223 S5309822212,sol,Unisex,Pasta,Rectangulares,,Negro,M,,16.0,120.0,134.0,40.0,False,,,23.99
https://www.lentiamo.es/uvex-sportstyle-237-cv-black-matt-mir-red-s5330862287.html,Uvex Sports,S5330862287,sol,Unisex,Pasta,Rectangulares,,Negro,M,,16.0,114.0,135.0,85.0,False,,,109.9
https://www.lentiamo.es/uvex-pace-stage-cv-white-matt-mir-gold-s5330528882.html,Uvex Sports,S5330528882,sol,Unisex,Pasta,Rectangulares,,Blanco,M,,17.0,135.0,133.0,80.0,False,,,119.9
https://www.lentiamo.es/uvex-sportstyle-237-clear-met-purp-mir-lav-s5330589416.html,Uvex Sports,S5330589416,sol,Unisex,Pasta,Rectangulares,,Transparente,M,,16.0,114.0,135.0,85.0,False,,,62.99
https://www.lentiamo.es/uvex-lgl-52-smoke-mir-red-s5330789916.html,Uvex Sports,S5330789916,sol,Unisex,Pasta,Cuadradas,,Gris,M,,16.0,145.0,132.0,85.0,False,,,54.99
https://www.lentiamo.es/uvex-sportstyle-515-levander-matt-mir-blue-s5330664416.html,Uvex Sports,515 S5330664416,sol,Unisex,Pasta,Rectangulares,,Morado,S,,17.0,125.0,128.0,40.0,False,,,23.99
https://www.lentiamo.es/uvex-sportstyle-235v-white-matt-ltm-blue-s5330318803.html,Uvex Sports,S5330318803,sol,Unisex,Pasta,Rectangulares,,Blanco,M,,19.0,120.0,133.0,170.0,False,,,129.9
https://www.lentiamo.es/versace-0ve-2257-100273-60.html,Versace,0VE2257 100273 60,sol,Hombre,Metal,Rectangulares,,Dorado,M,,16.0,145.0,140.0,300.0,False,,,194.9
https://www.lentiamo.es/versace-0ve-2225-100287-60.html,Versace,0VE2225 100287 60,sol,Hombre,Metal,Aviador,,Dorado,M,,15.0,140.0,139.0,300.0,False,,,194.9
https://www.lentiamo.es/versace-0ve-2251-147187-63.html,Versace,0VE2251 147187 63,sol,Hombre,Metal/Pasta,Cuadradas,,Dorado,L,,12.0,145.0,142.0,350.0,False,,,194.9
https://www.lentiamo.es/uvex-sportstyle-237-white-matt-mir-lavender-s5330588816.html,Uvex Sports,S5330588816,sol,Unisex,Pasta,Rectangulares,,Blanco,M,,16.0,114.0,135.0,85.0,False,,,73.99
https://www.lentiamo.es/uvex-lgl-52-black-mir-green-s5330782215.html,Uvex Sports,S5330782215,sol,Unisex,Pasta,Cuadradas,,Negro,M,,16.0,145.0,132.0,85.0,False,,,54.99
https://www.lentiamo.es/uvex-pace-stage-s-cv-black-matt-mir-red-s5330732287.html,Uvex Sports,S5330732287,sol,Unisex,Pasta,Rectangulares,,Negro,S,,21.0,125.0,125.0,80.0,False,,,119.9
https://www.lentiamo.es/uvex-lgl-53-black-matt-mir-silver-s5330792216.html,Uvex Sports,S5330792216,sol,Unisex,Pasta,Redondas,,Negro,M,,16.0,145.0,130.0,75.0,False,,,54.99
