Total Nacional	Comunidades y Ciudades Autónomas	Situación en el hogar	Grupo de edad	Sexo	periodo	Total
Total Nacional	Balears, Illes	Personas que no viven en un núcleo familiar pero viven con otros parientes	25-34 años	Hombre	2020	1,4
Total Nacional	Balears, Illes	Personas que no viven en un núcleo familiar pero viven con otros parientes	25-34 años	Hombre	2019	2,2
Total Nacional	Balears, Illes	Personas que no viven en un núcleo familiar pero viven con otros parientes	25-34 años	Hombre	2018	4,8
Total Nacional	Balears, Illes	Personas que no viven en un núcleo familiar pero viven con otros parientes	25-34 años	Mujer	2020	0,7
Total Nacional	Balears, Illes	Personas que no viven en un núcleo familiar pero viven con otros parientes	25-34 años	Mujer	2019	1,4
Total Nacional	Balears, Illes	Personas que no viven en un núcleo familiar pero viven con otros parientes	25-34 años	Mujer	2018	4,7
Total Nacional	Balears, Illes	Personas que no viven en un núcleo familiar pero viven con otros personas que no son parientes	25-34 años	Hombre	2020	1,8
Total Nacional	Balears, Illes	Personas que no viven en un núcleo familiar pero viven con otros personas que no son parientes	25-34 años	Hombre	2019	5,9
Total Nacional	Balears, Illes	Personas que no viven en un núcleo familiar pero viven con otros personas que no son parientes	25-34 años	Hombre	2018	6,5
Total Nacional	Balears, Illes	Personas que no viven en un núcleo familiar pero viven con otros personas que no son parientes	25-34 años	Mujer	2020	2,2
Total Nacional	Balears, Illes	Personas que no viven en un núcleo familiar pero viven con otros personas que no son parientes	25-34 años	Mujer	2019	4,3
Total Nacional	Balears, Illes	Personas que no viven en un núcleo familiar pero viven con otros personas que no son parientes	25-34 años	Mujer	2018	2,6
Total Nacional	Canarias	Personas que conviven con su cónyuge	25-34 años	Hombre	2020	17,2
Total Nacional	Canarias	Personas que conviven con su cónyuge	25-34 años	Hombre	2019	17,2
Total Nacional	Canarias	Personas que conviven con su cónyuge	25-34 años	Hombre	2018	17,5
Total Nacional	Canarias	Personas que conviven con su cónyuge	25-34 años	Mujer	2020	21,1
Total Nacional	Canarias	Personas que conviven con su cónyuge	25-34 años	Mujer	2019	31,2
Total Nacional	Canarias	Personas que conviven con su cónyuge	25-34 años	Mujer	2018	28,7
Total Nacional	Canarias	Personas que son parte de una pareja de hecho	25-34 años	Hombre	2020	28,9
Total Nacional	Canarias	Personas que son parte de una pareja de hecho	25-34 años	Hombre	2019	25,5
Total Nacional	Canarias	Personas que son parte de una pareja de hecho	25-34 años	Hombre	2018	32,3
Total Nacional	Canarias	Personas que son parte de una pareja de hecho	25-34 años	Mujer	2020	30,1
Total Nacional	Canarias	Personas que son parte de una pareja de hecho	25-34 años	Mujer	2019	28,7
Total Nacional	Canarias	Personas que son parte de una pareja de hecho	25-34 años	Mujer	2018	36,4
Total Nacional	Canarias	Personas que no conviven en pareja pero forman núcleo con algún hijo	25-34 años	Hombre	2020	2,6
Total Nacional	Canarias	Personas que no conviven en pareja pero forman núcleo con algún hijo	25-34 años	Hombre	2019	..
Total Nacional	Canarias	Personas que no conviven en pareja pero forman núcleo con algún hijo	25-34 años	Hombre	2018	0,5
Total Nacional	Canarias	Personas que no conviven en pareja pero forman núcleo con algún hijo	25-34 años	Mujer	2020	17,9
Total Nacional	Canarias	Personas que no conviven en pareja pero forman núcleo con algún hijo	25-34 años	Mujer	2019	13,9
Total Nacional	Canarias	Personas que no conviven en pareja pero forman núcleo con algún hijo	25-34 años	Mujer	2018	7,8
Total Nacional	Canarias	Hijos/Hijas no del padre o madre solos	25-34 años	Hombre	2020	38,9
Total Nacional	Canarias	Hijos/Hijas no del padre o madre solos	25-34 años	Hombre	2019	44,1
Total Nacional	Canarias	Hijos/Hijas no del padre o madre solos	25-34 años	Hombre	2018	45,2
Total Nacional	Canarias	Hijos/Hijas no del padre o madre solos	25-34 años	Mujer	2020	39,1
Total Nacional	Canarias	Hijos/Hijas no del padre o madre solos	25-34 años	Mujer	2019	36,5
Total Nacional	Canarias	Hijos/Hijas no del padre o madre solos	25-34 años	Mujer	2018	32,4
Total Nacional	Canarias	Hijos/Hijas del padre o madre solos	25-34 años	Hombre	2020	34,1
Total Nacional	Canarias	Hijos/Hijas del padre o madre solos	25-34 años	Hombre	2019	28,5
Total Nacional	Canarias	Hijos/Hijas del padre o madre solos	25-34 años	Hombre	2018	23,1
Total Nacional	Canarias	Hijos/Hijas del padre o madre solos	25-34 años	Mujer	2020	16,9
Total Nacional	Canarias	Hijos/Hijas del padre o madre solos	25-34 años	Mujer	2019	17,5
Total Nacional	Canarias	Hijos/Hijas del padre o madre solos	25-34 años	Mujer	2018	18,7
Total Nacional	Canarias	Personas que viven solas	25-34 años	Hombre	2020	9,9
Total Nacional	Canarias	Personas que viven solas	25-34 años	Hombre	2019	12,3
Total Nacional	Canarias	Personas que viven solas	25-34 años	Hombre	2018	10,0
Total Nacional	Canarias	Personas que viven solas	25-34 años	Mujer	2020	9,3
Total Nacional	Canarias	Personas que viven solas	25-34 años	Mujer	2019	7,0
Total Nacional	Canarias	Personas que viven solas	25-34 años	Mujer	2018	7,2
Total Nacional	Canarias	Personas que no viven en un núcleo familiar pero viven con otros parientes	25-34 años	Hombre	2020	7,4
Total Nacional	Canarias	Personas que no viven en un núcleo familiar pero viven con otros parientes	25-34 años	Hombre	2019	6,2
Total Nacional	Canarias	Personas que no viven en un núcleo familiar pero viven con otros parientes	25-34 años	Hombre	2018	8,7
Total Nacional	Canarias	Personas que no viven en un núcleo familiar pero viven con otros parientes	25-34 años	Mujer	2020	3,6
Total Nacional	Canarias	Personas que no viven en un núcleo familiar pero viven con otros parientes	25-34 años	Mujer	2019	3,1
Total Nacional	Canarias	Personas que no viven en un núcleo familiar pero viven con otros parientes	25-34 años	Mujer	2018	3,4
Total Nacional	Canarias	Personas que no viven en un núcleo familiar pero viven con otros personas que no son parientes	25-34 años	Hombre	2020	0,9
Total Nacional	Canarias	Personas que no viven en un núcleo familiar pero viven con otros personas que no son parientes	25-34 años	Hombre	2019	6,3
Total Nacional	Canarias	Personas que no viven en un núcleo familiar pero viven con otros personas que no son parientes	25-34 años	Hombre	2018	2,2
Total Nacional	Canarias	Personas que no viven en un núcleo familiar pero viven con otros personas que no son parientes	25-34 años	Mujer	2020	4,4
Total Nacional	Canarias	Personas que no viven en un núcleo familiar pero viven con otros personas que no son parientes	25-34 años	Mujer	2019	4,7
Total Nacional	Canarias	Personas que no viven en un núcleo familiar pero viven con otros personas que no son parientes	25-34 años	Mujer	2018	7,8
Total Nacional	Cantabria	Personas que conviven con su cónyuge	25-34 años	Hombre	2020	4,1
Total Nacional	Cantabria	Personas que conviven con su cónyuge	25-34 años	Hombre	2019	5,2
