Total Nacional	Comunidades y Ciudades Autónomas	Situación en el hogar	Sexo	Grupo de edad	periodo	Total
Total Nacional	Balears, Illes	Personas que no conviven en pareja pero forman núcleo con algún hijo	Ambos sexos	25-34 años	2019	4,9
Total Nacional	Balears, Illes	Personas que no conviven en pareja pero forman núcleo con algún hijo	Ambos sexos	25-34 años	2018	6,3
Total Nacional	Balears, Illes	Hijos/Hijas no del padre o madre solos	Ambos sexos	25-34 años	2020	32,2
Total Nacional	Balears, Illes	Hijos/Hijas no del padre o madre solos	Ambos sexos	25-34 años	2019	33,5
Total Nacional	Balears, Illes	Hijos/Hijas no del padre o madre solos	Ambos sexos	25-34 años	2018	32,3
Total Nacional	Balears, Illes	Hijos/Hijas del padre o madre solos	Ambos sexos	25-34 años	2020	24,4
Total Nacional	Balears, Illes	Hijos/Hijas del padre o madre solos	Ambos sexos	25-34 años	2019	15,2
Total Nacional	Balears, Illes	Hijos/Hijas del padre o madre solos	Ambos sexos	25-34 años	2018	13,0
Total Nacional	Balears, Illes	Personas que viven solas	Ambos sexos	25-34 años	2020	18,0
Total Nacional	Balears, Illes	Personas que viven solas	Ambos sexos	25-34 años	2019	9,3
Total Nacional	Balears, Illes	Personas que viven solas	Ambos sexos	25-34 años	2018	9,8
Total Nacional	Balears, Illes	Personas que no viven en un núcleo familiar pero viven con otros parientes	Ambos sexos	25-34 años	2020	2,2
Total Nacional	Balears, Illes	Personas que no viven en un núcleo familiar pero viven con otros parientes	Ambos sexos	25-34 años	2019	3,6
Total Nacional	Balears, Illes	Personas que no viven en un núcleo familiar pero viven con otros parientes	Ambos sexos	25-34 años	2018	9,5
Total Nacional	Balears, Illes	Personas que no viven en un núcleo familiar pero viven con otros personas que no son parientes	Ambos sexos	25-34 años	2020	4,0
Total Nacional	Balears, Illes	Personas que no viven en un núcleo familiar pero viven con otros personas que no son parientes	Ambos sexos	25-34 años	2019	10,2
Total Nacional	Balears, Illes	Personas que no viven en un núcleo familiar pero viven con otros personas que no son parientes	Ambos sexos	25-34 años	2018	9,1
Total Nacional	Canarias	Personas que conviven con su cónyuge	Ambos sexos	25-34 años	2020	38,3
Total Nacional	Canarias	Personas que conviven con su cónyuge	Ambos sexos	25-34 años	2019	48,4
Total Nacional	Canarias	Personas que conviven con su cónyuge	Ambos sexos	25-34 años	2018	46,2
Total Nacional	Canarias	Personas que son parte de una pareja de hecho	Ambos sexos	25-34 años	2020	59,1
Total Nacional	Canarias	Personas que son parte de una pareja de hecho	Ambos sexos	25-34 años	2019	54,2
Total Nacional	Canarias	Personas que son parte de una pareja de hecho	Ambos sexos	25-34 años	2018	68,7
Total Nacional	Canarias	Personas que no conviven en pareja pero forman núcleo con algún hijo	Ambos sexos	25-34 años	2020	20,5
Total Nacional	Canarias	Personas que no conviven en pareja pero forman núcleo con algún hijo	Ambos sexos	25-34 años	2019	13,9
Total Nacional	Canarias	Personas que no conviven en pareja pero forman núcleo con algún hijo	Ambos sexos	25-34 años	2018	8,3
Total Nacional	Canarias	Hijos/Hijas no del padre o madre solos	Ambos sexos	25-34 años	2020	78,0
Total Nacional	Canarias	Hijos/Hijas no del padre o madre solos	Ambos sexos	25-34 años	2019	80,6
Total Nacional	Canarias	Hijos/Hijas no del padre o madre solos	Ambos sexos	25-34 años	2018	77,7
Total Nacional	Canarias	Hijos/Hijas del padre o madre solos	Ambos sexos	25-34 años	2020	51,0
Total Nacional	Canarias	Hijos/Hijas del padre o madre solos	Ambos sexos	25-34 años	2019	46,0
Total Nacional	Canarias	Hijos/Hijas del padre o madre solos	Ambos sexos	25-34 años	2018	41,8
Total Nacional	Canarias	Personas que viven solas	Ambos sexos	25-34 años	2020	19,2
Total Nacional	Canarias	Personas que viven solas	Ambos sexos	25-34 años	2019	19,3
Total Nacional	Canarias	Personas que viven solas	Ambos sexos	25-34 años	2018	17,2
Total Nacional	Canarias	Personas que no viven en un núcleo familiar pero viven con otros parientes	Ambos sexos	25-34 años	2020	11,1
Total Nacional	Canarias	Personas que no viven en un núcleo familiar pero viven con otros parientes	Ambos sexos	25-34 años	2019	9,3
Total Nacional	Canarias	Personas que no viven en un núcleo familiar pero viven con otros parientes	Ambos sexos	25-34 años	2018	12,1
Total Nacional	Canarias	Personas que no viven en un núcleo familiar pero viven con otros personas que no son parientes	Ambos sexos	25-34 años	2020	5,4
Total Nacional	Canarias	Personas que no viven en un núcleo familiar pero viven con otros personas que no son parientes	Ambos sexos	25-34 años	2019	11,0
Total Nacional	Canarias	Personas que no viven en un núcleo familiar pero viven con otros personas que no son parientes	Ambos sexos	25-34 años	2018	10,0
Total Nacional	Cantabria	Personas que conviven con su cónyuge	Ambos sexos	25-34 años	2020	10,2
Total Nacional	Cantabria	Personas que conviven con su cónyuge	Ambos sexos	25-34 años	2019	13,0
Total Nacional	Cantabria	Personas que conviven con su cónyuge	Ambos sexos	25-34 años	2018	13,2
Total Nacional	Cantabria	Personas que son parte de una pareja de hecho	Ambos sexos	25-34 años	2020	6,2
Total Nacional	Cantabria	Personas que son parte de una pareja de hecho	Ambos sexos	25-34 años	2019	11,0
Total Nacional	Cantabria	Personas que son parte de una pareja de hecho	Ambos sexos	25-34 años	2018	12,0
Total Nacional	Cantabria	Personas que no conviven en pareja pero forman núcleo con algún hijo	Ambos sexos	25-34 años	2020	2,0
Total Nacional	Cantabria	Personas que no conviven en pareja pero forman núcleo con algún hijo	Ambos sexos	25-34 años	2019	1,9
Total Nacional	Cantabria	Personas que no conviven en pareja pero forman núcleo con algún hijo	Ambos sexos	25-34 años	2018	1,9
Total Nacional	Cantabria	Hijos/Hijas no del padre o madre solos	Ambos sexos	25-34 años	2020	16,3
Total Nacional	Cantabria	Hijos/Hijas no del padre o madre solos	Ambos sexos	25-34 años	2019	17,0
Total Nacional	Cantabria	Hijos/Hijas no del padre o madre solos	Ambos sexos	25-34 años	2018	16,4
Total Nacional	Cantabria	Hijos/Hijas del padre o madre solos	Ambos sexos	25-34 años	2020	6,3
Total Nacional	Cantabria	Hijos/Hijas del padre o madre solos	Ambos sexos	25-34 años	2019	5,8
Total Nacional	Cantabria	Hijos/Hijas del padre o madre solos	Ambos sexos	25-34 años	2018	6,7
Total Nacional	Cantabria	Personas que viven solas	Ambos sexos	25-34 años	2020	8,3
Total Nacional	Cantabria	Personas que viven solas	Ambos sexos	25-34 años	2019	6,4
Total Nacional	Cantabria	Personas que viven solas	Ambos sexos	25-34 años	2018	5,9
Total Nacional	Cantabria	Personas que no viven en un núcleo familiar pero viven con otros parientes	Ambos sexos	25-34 años	2020	2,9
Total Nacional	Cantabria	Personas que no viven en un núcleo familiar pero viven con otros parientes	Ambos sexos	25-34 años	2019	1,1
Total Nacional	Cantabria	Personas que no viven en un núcleo familiar pero viven con otros parientes	Ambos sexos	25-34 años	2018	0,2
Total Nacional	Cantabria	Personas que no viven en un núcleo familiar pero viven con otros personas que no son parientes	Ambos sexos	25-34 años	2020	2,7
Total Nacional	Cantabria	Personas que no viven en un núcleo familiar pero viven con otros personas que no son parientes	Ambos sexos	25-34 años	2019	0,4
Total Nacional	Cantabria	Personas que no viven en un núcleo familiar pero viven con otros personas que no son parientes	Ambos sexos	25-34 años	2018	2,1
Total Nacional	Castilla y León	Personas que conviven con su cónyuge	Ambos sexos	25-34 años	2020	30,5
Total Nacional	Castilla y León	Personas que conviven con su cónyuge	Ambos sexos	25-34 años	2019	44,9
Total Nacional	Castilla y León	Personas que conviven con su cónyuge	Ambos sexos	25-34 años	2018	45,4
Total Nacional	Castilla y León	Personas que son parte de una pareja de hecho	Ambos sexos	25-34 años	2020	42,5
Total Nacional	Castilla y León	Personas que son parte de una pareja de hecho	Ambos sexos	25-34 años	2019	33,5
Total Nacional	Castilla y León	Personas que son parte de una pareja de hecho	Ambos sexos	25-34 años	2018	43,5
Total Nacional	Castilla y León	Personas que no conviven en pareja pero forman núcleo con algún hijo	Ambos sexos	25-34 años	2020	4,8
Total Nacional	Castilla y León	Personas que no conviven en pareja pero forman núcleo con algún hijo	Ambos sexos	25-34 años	2019	4,3
Total Nacional	Castilla y León	Personas que no conviven en pareja pero forman núcleo con algún hijo	Ambos sexos	25-34 años	2018	5,3
Total Nacional	Castilla y León	Hijos/Hijas no del padre o madre solos	Ambos sexos	25-34 años	2020	80,9
Total Nacional	Castilla y León	Hijos/Hijas no del padre o madre solos	Ambos sexos	25-34 años	2019	80,6
Total Nacional	Castilla y León	Hijos/Hijas no del padre o madre solos	Ambos sexos	25-34 años	2018	73,0
Total Nacional	Castilla y León	Hijos/Hijas del padre o madre solos	Ambos sexos	25-34 años	2020	28,0
Total Nacional	Castilla y León	Hijos/Hijas del padre o madre solos	Ambos sexos	25-34 años	2019	28,9
Total Nacional	Castilla y León	Hijos/Hijas del padre o madre solos	Ambos sexos	25-34 años	2018	28,3
Total Nacional	Castilla y León	Personas que viven solas	Ambos sexos	25-34 años	2020	27,3
Total Nacional	Castilla y León	Personas que viven solas	Ambos sexos	25-34 años	2019	24,8
Total Nacional	Castilla y León	Personas que viven solas	Ambos sexos	25-34 años	2018	25,7
Total Nacional	Castilla y León	Personas que no viven en un núcleo familiar pero viven con otros parientes	Ambos sexos	25-34 años	2020	7,6
Total Nacional	Castilla y León	Personas que no viven en un núcleo familiar pero viven con otros parientes	Ambos sexos	25-34 años	2019	5,6
Total Nacional	Castilla y León	Personas que no viven en un núcleo familiar pero viven con otros parientes	Ambos sexos	25-34 años	2018	8,4
Total Nacional	Castilla y León	Personas que no viven en un núcleo familiar pero viven con otros personas que no son parientes	Ambos sexos	25-34 años	2020	1,1
Total Nacional	Castilla y León	Personas que no viven en un núcleo familiar pero viven con otros personas que no son parientes	Ambos sexos	25-34 años	2019	6,1
Total Nacional	Castilla y León	Personas que no viven en un núcleo familiar pero viven con otros personas que no son parientes	Ambos sexos	25-34 años	2018	6,1
Total Nacional	Castilla - La Mancha	Personas que conviven con su cónyuge	Ambos sexos	25-34 años	2020	47,2
Total Nacional	Castilla - La Mancha	Personas que conviven con su cónyuge	Ambos sexos	25-34 años	2019	49,2
Total Nacional	Castilla - La Mancha	Personas que conviven con su cónyuge	Ambos sexos	25-34 años	2018	52,7
Total Nacional	Castilla - La Mancha	Personas que son parte de una pareja de hecho	Ambos sexos	25-34 años	2020	43,7
Total Nacional	Castilla - La Mancha	Personas que son parte de una pareja de hecho	Ambos sexos	25-34 años	2019	46,6
Total Nacional	Castilla - La Mancha	Personas que son parte de una pareja de hecho	Ambos sexos	25-34 años	2018	38,9
Total Nacional	Castilla - La Mancha	Personas que no conviven en pareja pero forman núcleo con algún hijo	Ambos sexos	25-34 años	2020	6,2
Total Nacional	Castilla - La Mancha	Personas que no conviven en pareja pero forman núcleo con algún hijo	Ambos sexos	25-34 años	2019	4,1
Total Nacional	Castilla - La Mancha	Personas que no conviven en pareja pero forman núcleo con algún hijo	Ambos sexos	25-34 años	2018	8,4
Total Nacional	Castilla - La Mancha	Hijos/Hijas no del padre o madre solos	Ambos sexos	25-34 años	2020	76,0
Total Nacional	Castilla - La Mancha	Hijos/Hijas no del padre o madre solos	Ambos sexos	25-34 años	2019	72,8
Total Nacional	Castilla - La Mancha	Hijos/Hijas no del padre o madre solos	Ambos sexos	25-34 años	2018	79,1
Total Nacional	Castilla - La Mancha	Hijos/Hijas del padre o madre solos	Ambos sexos	25-34 años	2020	25,8
Total Nacional	Castilla - La Mancha	Hijos/Hijas del padre o madre solos	Ambos sexos	25-34 años	2019	21,6
Total Nacional	Castilla - La Mancha	Hijos/Hijas del padre o madre solos	Ambos sexos	25-34 años	2018	19,8
Total Nacional	Castilla - La Mancha	Personas que viven solas	Ambos sexos	25-34 años	2020	18,0
Total Nacional	Castilla - La Mancha	Personas que viven solas	Ambos sexos	25-34 años	2019	20,3
Total Nacional	Castilla - La Mancha	Personas que viven solas	Ambos sexos	25-34 años	2018	22,9
Total Nacional	Castilla - La Mancha	Personas que no viven en un núcleo familiar pero viven con otros parientes	Ambos sexos	25-34 años	2020	6,8
Total Nacional	Castilla - La Mancha	Personas que no viven en un núcleo familiar pero viven con otros parientes	Ambos sexos	25-34 años	2019	9,5
Total Nacional	Castilla - La Mancha	Personas que no viven en un núcleo familiar pero viven con otros parientes	Ambos sexos	25-34 años	2018	9,0
Total Nacional	Castilla - La Mancha	Personas que no viven en un núcleo familiar pero viven con otros personas que no son parientes	Ambos sexos	25-34 años	2020	5,7
Total Nacional	Castilla - La Mancha	Personas que no viven en un núcleo familiar pero viven con otros personas que no son parientes	Ambos sexos	25-34 años	2019	7,4
Total Nacional	Castilla - La Mancha	Personas que no viven en un núcleo familiar pero viven con otros personas que no son parientes	Ambos sexos	25-34 años	2018	4,5
Total Nacional	Cataluña	Personas que conviven con su cónyuge	Ambos sexos	25-34 años	2020	180,0
Total Nacional	Cataluña	Personas que conviven con su cónyuge	Ambos sexos	25-34 años	2019	204,1
Total Nacional	Cataluña	Personas que conviven con su cónyuge	Ambos sexos	25-34 años	2018	201,5
Total Nacional	Cataluña	Personas que son parte de una pareja de hecho	Ambos sexos	25-34 años	2020	234,4
Total Nacional	Cataluña	Personas que son parte de una pareja de hecho	Ambos sexos	25-34 años	2019	226,9
Total Nacional	Cataluña	Personas que son parte de una pareja de hecho	Ambos sexos	25-34 años	2018	219,5
Total Nacional	Cataluña	Personas que no conviven en pareja pero forman núcleo con algún hijo	Ambos sexos	25-34 años	2020	24,9
Total Nacional	Cataluña	Personas que no conviven en pareja pero forman núcleo con algún hijo	Ambos sexos	25-34 años	2019	16,0
Total Nacional	Cataluña	Personas que no conviven en pareja pero forman núcleo con algún hijo	Ambos sexos	25-34 años	2018	20,5
Total Nacional	Cataluña	Hijos/Hijas no del padre o madre solos	Ambos sexos	25-34 años	2020	193,6
Total Nacional	Cataluña	Hijos/Hijas no del padre o madre solos	Ambos sexos	25-34 años	2019	182,3
Total Nacional	Cataluña	Hijos/Hijas no del padre o madre solos	Ambos sexos	25-34 años	2018	194,5
Total Nacional	Cataluña	Hijos/Hijas del padre o madre solos	Ambos sexos	25-34 años	2020	79,4
Total Nacional	Cataluña	Hijos/Hijas del padre o madre solos	Ambos sexos	25-34 años	2019	65,2
Total Nacional	Cataluña	Hijos/Hijas del padre o madre solos	Ambos sexos	25-34 años	2018	60,8
Total Nacional	Cataluña	Personas que viven solas	Ambos sexos	25-34 años	2020	75,5
Total Nacional	Cataluña	Personas que viven solas	Ambos sexos	25-34 años	2019	88,4
Total Nacional	Cataluña	Personas que viven solas	Ambos sexos	25-34 años	2018	88,7
Total Nacional	Cataluña	Personas que no viven en un núcleo familiar pero viven con otros parientes	Ambos sexos	25-34 años	2020	29,1
Total Nacional	Cataluña	Personas que no viven en un núcleo familiar pero viven con otros parientes	Ambos sexos	25-34 años	2019	37,1
Total Nacional	Cataluña	Personas que no viven en un núcleo familiar pero viven con otros parientes	Ambos sexos	25-34 años	2018	20,6
Total Nacional	Cataluña	Personas que no viven en un núcleo familiar pero viven con otros personas que no son parientes	Ambos sexos	25-34 años	2020	57,9
Total Nacional	Cataluña	Personas que no viven en un núcleo familiar pero viven con otros personas que no son parientes	Ambos sexos	25-34 años	2019	48,9
Total Nacional	Cataluña	Personas que no viven en un núcleo familiar pero viven con otros personas que no son parientes	Ambos sexos	25-34 años	2018	46,7
Total Nacional	Comunitat Valenciana	Personas que conviven con su cónyuge	Ambos sexos	25-34 años	2020	110,5
Total Nacional	Comunitat Valenciana	Personas que conviven con su cónyuge	Ambos sexos	25-34 años	2019	129,7
Total Nacional	Comunitat Valenciana	Personas que conviven con su cónyuge	Ambos sexos	25-34 años	2018	135,0
Total Nacional	Comunitat Valenciana	Personas que son parte de una pareja de hecho	Ambos sexos	25-34 años	2020	114,8
Total Nacional	Comunitat Valenciana	Personas que son parte de una pareja de hecho	Ambos sexos	25-34 años	2019	115,8
Total Nacional	Comunitat Valenciana	Personas que son parte de una pareja de hecho	Ambos sexos	25-34 años	2018	89,7
Total Nacional	Comunitat Valenciana	Personas que no conviven en pareja pero forman núcleo con algún hijo	Ambos sexos	25-34 años	2020	17,2
Total Nacional	Comunitat Valenciana	Personas que no conviven en pareja pero forman núcleo con algún hijo	Ambos sexos	25-34 años	2019	12,6
Total Nacional	Comunitat Valenciana	Personas que no conviven en pareja pero forman núcleo con algún hijo	Ambos sexos	25-34 años	2018	19,9
Total Nacional	Comunitat Valenciana	Hijos/Hijas no del padre o madre solos	Ambos sexos	25-34 años	2020	139,1
Total Nacional	Comunitat Valenciana	Hijos/Hijas no del padre o madre solos	Ambos sexos	25-34 años	2019	151,7
Total Nacional	Comunitat Valenciana	Hijos/Hijas no del padre o madre solos	Ambos sexos	25-34 años	2018	149,1
Total Nacional	Comunitat Valenciana	Hijos/Hijas del padre o madre solos	Ambos sexos	25-34 años	2020	61,7
Total Nacional	Comunitat Valenciana	Hijos/Hijas del padre o madre solos	Ambos sexos	25-34 años	2019	51,2
Total Nacional	Comunitat Valenciana	Hijos/Hijas del padre o madre solos	Ambos sexos	25-34 años	2018	51,5
Total Nacional	Comunitat Valenciana	Personas que viven solas	Ambos sexos	25-34 años	2020	67,2
Total Nacional	Comunitat Valenciana	Personas que viven solas	Ambos sexos	25-34 años	2019	46,0
Total Nacional	Comunitat Valenciana	Personas que viven solas	Ambos sexos	25-34 años	2018	54,8
Total Nacional	Comunitat Valenciana	Personas que no viven en un núcleo familiar pero viven con otros parientes	Ambos sexos	25-34 años	2020	14,3
