modelo,marca,genero,material_montura,forma,tipo_montura,color,talla,ancho_lente,ancho_puente,largo_varilla,peso,gama_marca,segmento_comercial,pais_origen,precio_min,precio_max,categoria_material,gama_material,peso_relativo,aspect_ratio,area_aprox,densidad,ancho_total,montura_completa,es_unisex,color_basico,material_eco,precio_medio_marca,precio,log_precio
BB0275O 006 53,Balenciaga,Mujer,Pasta,Cat Eye,Montura completa,azul,M,53.0,18.0,140.0,260.0,lujo,moda_lujo,Francia/España (marca matriz),230.0,500.0,acetato,media,ligero,0.37857142857142856,954.0,0.27253668763102723,124.0,1,0,0,0,365.0,269.9,5.6017497490910495
0RX5228 2000 53,Ray-Ban,Unisex,Pasta,Rectangulares,Montura completa,negro,M,53.0,17.0,140.0,155.0,gama_media,moda_casual,Estados Unidos,100.0,240.0,acetato,media,ligero,0.37857142857142856,901.0,0.17203107658157601,123.0,1,1,1,0,170.0,101.9,4.633757642840004
ET17422 507 51/15,Esprit,Unisex,Pasta,Rectangulares,Montura completa,negro,S,51.0,15.0,135.0,40.0,gama_media,moda_casual,Alemania,70.0,150.0,acetato,media,ligero,0.37777777777777777,765.0,0.05228758169934641,117.0,1,1,1,0,110.0,78.9,4.380775852772229
33131 6100 17 58,Jaguar,Hombre,Metal,Rectangulares,Montura completa,negro,L,58.0,17.0,145.0,140.0,gama_media,moda_casual,Reino Unido,90.0,170.0,metal,media_alta,medio,0.4,986.0,0.14198782961460446,133.0,1,0,1,0,130.0,209.9,5.351384087484729
Ray-Ban 0RX6355 2503,Ray-Ban,Unisex,Metal,Redondas,Montura completa,negro,M,52.0,18.0,145.0,145.0,gama_media,moda_casual,Estados Unidos,100.0,240.0,metal,media_alta,medio,0.3586206896551724,936.0,0.15491452991452992,122.0,1,1,1,0,170.0,128.9,4.866764923676554
0MU 04UV 11T1O1 52,Miu Miu,Mujer,Acetato,Cuadradas,Montura completa,blanco,M,52.0,19.0,135.0,385.0,lujo,moda_lujo,Italia,180.0,360.0,acetato,media,ligero,0.3851851851851852,988.0,0.3896761133603239,123.0,1,0,0,0,270.0,259.9,5.564137192142683
0RA7182U 6117 49,Ralph,Mujer,Acetato,Redondas,Montura completa,blanco,S,49.0,16.0,140.0,165.0,gama_media,marca_blanca_OEM,Estados Unidos,60.0,120.0,acetato,media,ligero,0.35,784.0,0.21045918367346939,114.0,1,0,0,0,90.0,79.99,4.3943256902608985
0MU 04UV 2AZ1O1 52,Miu Miu,Mujer,Acetato,Cuadradas,Montura completa,transparente,M,52.0,19.0,135.0,385.0,lujo,moda_lujo,Italia,180.0,360.0,acetato,media,ligero,0.3851851851851852,988.0,0.3896761133603239,123.0,1,0,0,0,270.0,259.9,5.564137192142683
0AX3027 8078 55,Armani Exchange,Hombre,Pasta,Rectangulares,Montura completa,negro,M,55.0,16.0,140.0,100.0,gama_media,moda_premium,Italia,120.0,240.0,acetato,media,ligero,0.39285714285714285,880.0,0.11363636363636363,126.0,1,0,1,0,180.0,69.0,4.248495242049359
0PR 14WV 10J1O1 56,Prada,Hombre,Acetato,Rectangulares,Montura completa,gris,M,56.0,18.0,150.0,245.0,lujo,moda_lujo,Italia,260.0,520.0,acetato,media,ligero,0.37333333333333335,1008.0,0.24305555555555555,130.0,1,0,0,0,390.0,169.9,5.141078590121546
